symptoms,disease,age_group,gender,severity,medication,recommendation,description
"chills, body ache",Influenza,teen,any,Low,General supportive or doctor-advised treatment,Self-care and monitor.,Condition related to influenza.
"fatigue, cough",Influenza,child,male,Low,General supportive or doctor-advised treatment,Self-care and monitor.,Condition related to influenza.
"severe headache, light sensitivity",Migraine,senior,male,Low,General supportive or doctor-advised treatment,Self-care and monitor.,Condition related to migraine.
"chest pain, nausea, arm pain",Heart Attack,adult,male,Medium,General supportive or doctor-advised treatment,Consult doctor in 24-48 h.,Condition related to heart attack.
"severe headache, vomiting, nausea",Migraine,adult,female,Low,General supportive or doctor-advised treatment,Self-care and monitor.,Condition related to migraine.
"wheezing, shortness of breath, chest tightness",Asthma,child,any,Medium,General supportive or doctor-advised treatment,Consult doctor in 24-48 h.,Condition related to asthma.
"abdominal pain, burning urination, frequent urination",UTI,teen,female,Low,General supportive or doctor-advised treatment,Self-care and monitor.,Condition related to uti.
"fever, cough",Influenza,senior,any,Medium,General supportive or doctor-advised treatment,Consult doctor in 24-48 h.,Condition related to influenza.
"abdominal pain, vomiting",Gastroenteritis,adult,any,Low,General supportive or doctor-advised treatment,Self-care and monitor.,Condition related to gastroenteritis.
"fatigue, body ache",Influenza,senior,female,Low,General supportive or doctor-advised treatment,Self-care and monitor.,Condition related to influenza.
"abdominal pain, frequent urination",UTI,teen,male,Low,General supportive or doctor-advised treatment,Self-care and monitor.,Condition related to uti.
"abdominal pain, diarrhea, fever",Gastroenteritis,adult,male,High,General supportive or doctor-advised treatment,Immediate emergency care.,Condition related to gastroenteritis.
"nausea, chest pain, arm pain",Heart Attack,teen,any,Low,General supportive or doctor-advised treatment,Self-care and monitor.,Condition related to heart attack.
"loss of smell, fatigue, dry cough",COVID-19,teen,male,Medium,General supportive or doctor-advised treatment,Consult doctor in 24-48 h.,Condition related to covid-19.
"fever, loss of smell, fatigue",COVID-19,teen,any,Low,General supportive or doctor-advised treatment,Self-care and monitor.,Condition related to covid-19.
"nausea, fever",Appendicitis,senior,any,High,General supportive or doctor-advised treatment,Immediate emergency care.,Condition related to appendicitis.
"abdominal pain, burning urination",UTI,adult,any,High,General supportive or doctor-advised treatment,Immediate emergency care.,Condition related to uti.
"abdominal pain, vomiting",Gastroenteritis,senior,male,Low,General supportive or doctor-advised treatment,Self-care and monitor.,Condition related to gastroenteritis.
"abdominal pain, burning urination",UTI,adult,any,High,General supportive or doctor-advised treatment,Immediate emergency care.,Condition related to uti.
"dry cough, loss of smell",COVID-19,child,any,Low,General supportive or doctor-advised treatment,Self-care and monitor.,Condition related to covid-19.
"diarrhea, fever, vomiting",Gastroenteritis,teen,male,Medium,General supportive or doctor-advised treatment,Consult doctor in 24-48 h.,Condition related to gastroenteritis.
"severe headache, light sensitivity",Migraine,child,any,Medium,General supportive or doctor-advised treatment,Consult doctor in 24-48 h.,Condition related to migraine.
"chest pain, shortness of breath",Pneumonia,adult,any,Low,General supportive or doctor-advised treatment,Self-care and monitor.,Condition related to pneumonia.
"wheezing, chest tightness, shortness of breath",Asthma,adult,female,Medium,General supportive or doctor-advised treatment,Consult doctor in 24-48 h.,Condition related to asthma.
"fever, loss of smell, fatigue",COVID-19,adult,male,Low,General supportive or doctor-advised treatment,Self-care and monitor.,Condition related to covid-19.
"chest tightness, wheezing",Asthma,child,any,Low,General supportive or doctor-advised treatment,Self-care and monitor.,Condition related to asthma.
"runny nose, mild fever",Common Cold,child,any,Medium,General supportive or doctor-advised treatment,Consult doctor in 24-48 h.,Condition related to common cold.
"vomiting, severe headache, light sensitivity",Migraine,senior,male,High,General supportive or doctor-advised treatment,Immediate emergency care.,Condition related to migraine.
"arm pain, chest pain, sweating",Heart Attack,senior,female,High,General supportive or doctor-advised treatment,Immediate emergency care.,Condition related to heart attack.
"nausea, right lower abdominal pain, fever",Appendicitis,senior,any,Low,General supportive or doctor-advised treatment,Self-care and monitor.,Condition related to appendicitis.
"vomiting, diarrhea",Gastroenteritis,senior,male,Low,General supportive or doctor-advised treatment,Self-care and monitor.,Condition related to gastroenteritis.
"nausea, fever",Appendicitis,child,female,Low,General supportive or doctor-advised treatment,Self-care and monitor.,Condition related to appendicitis.
"fever, fatigue",COVID-19,child,male,High,General supportive or doctor-advised treatment,Immediate emergency care.,Condition related to covid-19.
"vomiting, nausea",Migraine,teen,female,Medium,General supportive or doctor-advised treatment,Consult doctor in 24-48 h.,Condition related to migraine.
"sneezing, runny nose",Common Cold,adult,female,Medium,General supportive or doctor-advised treatment,Consult doctor in 24-48 h.,Condition related to common cold.
"abdominal pain, frequent urination, burning urination",UTI,adult,male,Low,General supportive or doctor-advised treatment,Self-care and monitor.,Condition related to uti.
"cough, runny nose",Common Cold,senior,any,Low,General supportive or doctor-advised treatment,Self-care and monitor.,Condition related to common cold.
"fever, fatigue",COVID-19,teen,male,Low,General supportive or doctor-advised treatment,Self-care and monitor.,Condition related to covid-19.
"chest tightness, wheezing",Asthma,child,any,Medium,General supportive or doctor-advised treatment,Consult doctor in 24-48 h.,Condition related to asthma.
"severe headache, nausea",Migraine,adult,female,High,General supportive or doctor-advised treatment,Immediate emergency care.,Condition related to migraine.
"nausea, vomiting, light sensitivity",Migraine,adult,female,Low,General supportive or doctor-advised treatment,Self-care and monitor.,Condition related to migraine.
"diarrhea, vomiting",Gastroenteritis,child,male,High,General supportive or doctor-advised treatment,Immediate emergency care.,Condition related to gastroenteritis.
"fatigue, fever",COVID-19,child,male,Medium,General supportive or doctor-advised treatment,Consult doctor in 24-48 h.,Condition related to covid-19.
"vomiting, fever, abdominal pain",Gastroenteritis,child,any,High,General supportive or doctor-advised treatment,Immediate emergency care.,Condition related to gastroenteritis.
"fever, loss of smell, dry cough",COVID-19,child,any,Low,General supportive or doctor-advised treatment,Self-care and monitor.,Condition related to covid-19.
"fatigue, dry cough",COVID-19,teen,any,High,General supportive or doctor-advised treatment,Immediate emergency care.,Condition related to covid-19.
"abdominal pain, fever",Gastroenteritis,adult,male,Medium,General supportive or doctor-advised treatment,Consult doctor in 24-48 h.,Condition related to gastroenteritis.
"chills, fever, cough",Influenza,teen,any,Medium,General supportive or doctor-advised treatment,Consult doctor in 24-48 h.,Condition related to influenza.
"abdominal pain, frequent urination",UTI,senior,any,High,General supportive or doctor-advised treatment,Immediate emergency care.,Condition related to uti.
"runny nose, sore throat",Common Cold,child,female,High,General supportive or doctor-advised treatment,Immediate emergency care.,Condition related to common cold.
